"","Chrysochloris_asiatica","Dugong_dugon","Echinops_telfairi","Elephantulus_edwardii","Elephas_maximus","Heterohyrax_brucei","Loxodonta_africana","Microgale_talazaci","Procavia_capensis","Trichechus_manatus","Acinonyx_jubatus","Ailuropoda_melanoleuca","Ailurus_fulgens","Arctocephalus_gazella","Bassariscus_astutus","Bassariscus_sumichrasti","Callorhinus_ursinus","Canis_latrans","Chrysocyon_brachyurus","Crocuta_crocuta","Cryptoprocta_ferox","Erignathus_barbatus","Eumetopias_jubatus","Felis_catus","Felis_nigripes","Gulo_gulo","Halichoerus_grypus","Helarctos_malayanus","Helogale_parvula","Hyaena_hyaena","Leptonychotes_weddellii","Lontra_canadensis","Lutra_lutra","Lycaon_pictus","Lynx_canadensis","Lynx_pardinus","Martes_zibellina","Mellivora_capensis","Mirounga_angustirostris","Mirounga_leonina","Mungos_mungo","Mustela_erminea","Mustela_putorius","Nasua_narica","Neofelis_nebulosa","Neovison_vison","Nyctereutes_procyonoides","Odobenus_rosmarus","Otocyon_megalotis","Panthera_leo","Panthera_onca","Panthera_pardus","Paradoxurus_hermaphroditus","Phoca_largha","Phoca_vitulina","Potos_flavus","Procyon_lotor","Pteronura_brasiliensis","Puma_concolor","Spilogale_gracilis","Suricata_suricatta","Ursus_americanus","Ursus_maritimus","Vulpes_lagopus","Vulpes_vulpes","Zalophus_californianus","Antrozous_pallidus","Artibeus_jamaicensis","Carollia_perspicillata","Cynopterus_brachyotis","Eidolon_dupreanum","Eidolon_helvum","Eonycteris_spelaea","Eptesicus_fuscus","Lasiurus_borealis","Leptonycteris_yerbabuenae","Macroglossus_sobrinus","Macrotus_californicus","Megaderma_lyra","Megaderma_spasma","Miniopterus_natalensis","Miniopterus_schreibersii","Molossus_molossus","Myotis_brandtii","Myotis_davidii","Myotis_lucifugus","Myotis_myotis","Myotis_septentrionalis","Noctilio_leporinus","Nycticeius_humeralis","Phyllostomus_discolor","Pipistrellus_kuhlii","Pipistrellus_pipistrellus","Plecotus_auritus","Pteropus_alecto","Pteropus_giganteus","Pteropus_rufus","Pteropus_vampyrus","Rhinolophus_ferrumequinum","Rhinolophus_hipposideros","Rhinolophus_sinicus","Rousettus_aegyptiacus","Rousettus_leschenaultii","Tadarida_brasiliensis","Condylura_cristata","Erinaceus_europaeus","Scalopus_aquaticus","Solenodon_paradoxus","Sorex_araneus","Suncus_etruscus","Talpa_occidentalis","Lepus_americanus","Lepus_timidus","Ochotona_princeps","Oryctolagus_cuniculus","Sylvilagus_floridanus","Antechinus_flavipes","Didelphis_virginiana","Dromiciops_gliroides","Gracilinanus_agilis","Gymnobelideus_leadbeateri","Macropus_fuliginosus","Macropus_giganteus","Monodelphis_domestica","Phalanger_gymnotis","Phascolarctos_cinereus","Sarcophilus_harrisii","Trichosurus_vulpecula","Vombatus_ursinus","Diceros_bicornis","Equus_caballus","Equus_zebra","Rhinoceros_unicornis","Tapirus_indicus","Tapirus_terrestris","Manis_javanica","Manis_pentadactyla","Allenopithecus_nigroviridis","Alouatta_palliata","Aotus_nancymaae","Ateles_belzebuth","Ateles_chamek","Ateles_geoffroyi","Ateles_marginatus","Ateles_paniscus","Cacajao_calvus","Cacajao_melanocephalus","Callimico_goeldii","Callithrix_jacchus","Cebus_albifrons","Cercocebus_atys","Cercopithecus_mona","Cercopithecus_neglectus","Cheirogaleus_medius","Chlorocebus_aethiops","Chlorocebus_sabaeus","Colobus_guereza","Daubentonia_madagascariensis","Erythrocebus_patas","Eulemur_fulvus","Eulemur_macaco","Eulemur_mongoz","Galago_moholi","Galago_senegalensis","Gorilla_beringei","Gorilla_gorilla","Hylobates_agilis","Hylobates_moloch","Hylobates_pileatus","Lemur_catta","Leontopithecus_chrysomelas","Leontopithecus_rosalia","Lophocebus_aterrimus","Loris_tardigradus","Macaca_arctoides","Macaca_assamensis","Macaca_cyclopis","Macaca_fascicularis","Macaca_fuscata","Macaca_mulatta","Macaca_nemestrina","Macaca_nigra","Macaca_silenus","Mandrillus_leucophaeus","Mandrillus_sphinx","Microcebus_murinus","Mirza_coquereli","Nasalis_larvatus","Nomascus_leucogenys","Nycticebus_bengalensis","Nycticebus_coucang","Otolemur_crassicaudatus","Otolemur_garnettii","Pan_paniscus","Pan_troglodytes","Papio_anubis","Papio_hamadryas","Papio_papio","Pithecia_pithecia","Pongo_abelii","Pongo_pygmaeus","Prolemur_simus","Propithecus_coquereli","Pygathrix_nemaeus","Pygathrix_nigripes","Rhinopithecus_bieti","Rhinopithecus_roxellana","Saguinus_imperator","Saguinus_midas","Saguinus_oedipus","Saimiri_boliviensis","Saimiri_sciureus","Sapajus_apella","Semnopithecus_entellus","Symphalangus_syndactylus","Theropithecus_gelada","Trachypithecus_francoisi","Trachypithecus_germaini","Varecia_variegata","Ornithorhynchus_anatinus","Tachyglossus_aculeatus","Acomys_cahirinus","Acomys_dimidiatus","Acomys_russatus","Aplodontia_rufa","Apodemus_sylvaticus","Arvicanthis_niloticus","Arvicola_amphibius","Castor_canadensis","Cavia_aperea","Cavia_porcellus","Cavia_tschudii","Chinchilla_lanigera","Coendou_prehensilis","Cricetomys_gambianus","Ctenodactylus_gundi","Cynomys_gunnisoni","Dasyprocta_punctata","Dinomys_branickii","Dipodomys_ordii","Dipodomys_stephensi","Dolichotis_patagonum","Eliomys_quercinus","Ellobius_talpinus","Glis_glis","Graphiurus_murinus","Heterocephalus_glaber","Hydrochoerus_hydrochaeris","Hystrix_cristata","Ictidomys_tridecemlineatus","Jaculus_jaculus","Marmota_flaviventris","Marmota_monax","Marmota_vancouverensis","Mastomys_coucha","Meriones_unguiculatus","Mesocricetus_auratus","Microtus_agrestis","Microtus_arvalis","Microtus_fortis","Microtus_ochrogaster","Microtus_oeconomus","Mus_caroli","Mus_musculus","Mus_spicilegus","Mus_spretus","Muscardinus_avellanarius","Myocastor_coypus","Myodes_glareolus","Neotoma_lepida","Octodon_degus","Ondatra_zibethicus","Onychomys_torridus","Pachyuromys_duprasi","Pedetes_capensis","Peromyscus_crinitus","Peromyscus_eremicus","Peromyscus_leucopus","Peromyscus_nasutus","Petromus_typicus","Psammomys_obesus","Rattus_norvegicus","Rattus_rattus","Rhombomys_opimus","Sciurus_carolinensis","Sciurus_niger","Sciurus_vulgaris","Sigmodon_hispidus","Spermophilus_dauricus","Thryonomys_swinderianus","Xerus_inauris","Zapus_hudsonius","Aepyceros_melampus","Alces_alces","Ammotragus_lervia","Antidorcas_marsupialis","Antilocapra_americana","Axis_porcinus","Beatragus_hunteri","Bos_frontalis","Bos_grunniens","Bos_taurus","Capra_hircus","Capra_ibex","Capra_sibirica","Capreolus_pygargus","Connochaetes_taurinus","Damaliscus_lunatus","Elaphurus_davidianus","Eudorcas_thomsonii","Giraffa_camelopardalis","Hippotragus_equinus","Hydropotes_inermis","Kobus_ellipsiprymnus","Litocranius_walleri","Madoqua_kirkii","Moschus_moschiferus","Muntiacus_crinifrons","Muntiacus_muntjak","Muntiacus_reevesi","Nanger_granti","Neotragus_pygmaeus","Odocoileus_virginianus","Okapia_johnstoni","Oreamnos_americanus","Oreotragus_oreotragus","Oryx_dammah","Oryx_gazella","Ovis_ammon","Ovis_aries","Ovis_canadensis","Philantomba_maxwellii","Procapra_przewalskii","Rangifer_tarandus","Raphicerus_campestris","Redunca_redunca","Saiga_tatarica","Sylvicapra_grimmia","Syncerus_caffer","Tragelaphus_imberbis","Tragelaphus_scriptus","Tragelaphus_strepsiceros","Tragulus_javanicus","Tragulus_kanchil","Tupaia_belangeri","Tupaia_tana","Babyrousa_celebensis","Catagonus_wagneri","Sus_scrofa","Camelus_bactrianus","Camelus_dromedarius","Lama_glama","Vicugna_pacos","Balaena_mysticetus","Balaenoptera_edeni","Balaenoptera_musculus","Balaenoptera_physalus","Cephalorhynchus_commersonii","Delphinapterus_leucas","Eschrichtius_robustus","Eubalaena_australis","Eubalaena_glacialis","Globicephala_melas"
"EFEMP2",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"WASHC2C",1,1,1,1,1,3,1,2,0,1,1,1,1,0,2,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,3,1,3,1,1,0,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,2,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,2,0,0,1,1,0,1,1,4,2,0,2,1,1,1,1,1,1,3,1,4,1,1,1,1,1,1,1,1,1,2,2,1,0,0,1,1,1,1,2,1,1,0,1,1,1,0,1,1,3,1,1,1,1,1,1,4,1,4,2,2,3,1,1,1,1,1,1,1,1,2,2,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,0,1,1,2,1,0,1,2,1,1,1,1,1,1,1,2,1,4,0,3,0,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
"TMEM134",1,1,1,1,1,1,0,2,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0
"ZMAT3",1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,3,1,1,3,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"THEMIS",1,0,1,1,1,2,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,2,1,0,1,1,0,1,1,1,1,3,3,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,4,3,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,0,4,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"MOS",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"ZNF738",40,58,0,40,19,0,53,0,47,2,56,40,17,41,27,62,56,7,16,57,36,19,52,25,48,52,62,63,71,49,19,48,46,39,47,53,50,44,19,57,72,45,48,24,30,48,29,43,18,51,53,52,42,13,49,35,48,48,44,48,69,47,50,32,47,45,47,35,27,42,20,6,41,30,44,17,49,29,53,26,42,47,17,44,43,42,25,17,51,41,11,14,31,34,48,49,32,43,13,71,50,13,32,40,38,0,30,0,33,1,42,19,0,0,0,3,0,1,1,0,0,1,0,0,0,0,1,4,53,59,60,19,31,61,68,47,46,36,55,53,28,42,33,36,23,54,63,29,34,57,48,35,50,57,35,38,38,41,34,71,73,47,67,47,55,28,19,24,36,67,56,56,46,66,45,36,35,22,34,20,46,40,45,31,29,51,83,43,39,64,70,58,73,49,56,24,28,38,45,30,46,66,65,32,39,38,28,34,40,41,50,30,38,40,27,25,32,32,28,2,1,33,10,44,53,4,47,0,26,20,64,48,59,10,47,57,92,37,55,46,26,41,45,39,58,77,47,58,43,9,51,72,93,51,34,40,20,55,50,24,52,56,32,26,26,35,50,43,64,60,53,46,56,11,67,39,62,56,62,34,27,20,16,33,54,8,60,57,79,45,75,67,47,58,59,50,55,73,54,35,60,24,58,41,64,55,56,50,55,47,47,56,69,52,61,0,48,42,52,57,34,0,57,16,0,39,20,43,53,28,52,30,34,52,39,49,42,26,56,40,47,52,41,0,34,1,52,53,60,56,53,10,49,58,29,0,34,26,54,44,65,39,53
"SLFN11",1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,2,3,1,1,0,1,0,1,2,2,3,1,1,1,1,0,1,2,2,1,1,3,0,1,1,1,1,1,0,0,1,2,2,3,1,1,0,2,2,2,2,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0
"FAM71D",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"CCL19",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,0,1,1,2,1,1,2,2,1,1,1,1,1,2,2,2,3,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,0,2,1,2,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CORO1B",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"FUT10",1,1,1,1,1,2,1,2,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
"LRRC20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
